
首次上传日期_fs | first_update_fs
人均净利润 | id_322_m_np_pc
人均薪酬 | id_323_m_s_pc
二、 每股指标 | id_324
归属于母公司普通股股东的每股收益 | id_325_m_npatoshopc_ps
归属于母公司普通股股东的每股扣非收益 | id_326_m_npadnrpatoshaopc_ps
归属于母公司普通股股东的每股股东权益 | id_327_m_tetoshopc_ps
每股资本公积 | id_328_m_cr_ps
每股未分配利润 | id_329_m_rp_ps
每股经营活动产生的现金流量 | id_330_m_stciffoa_ps
每股经营活动产生的现金流量净额 | id_331_m_ncffoa_ps
三、 盈利能力 | id_332
归属于母公司普通股股东的ROE | id_333_m_roe_atoshaopc
归属于母公司普通股股东的扣非ROE | id_334_m_roe_adnrpatoshaopc
归属于母公司普通股股东的加权ROE | id_335_m_wroe
净资产收益率(ROE) | id_336_m_roe
杠杆倍数 | id_337_m_l
总资产收益率(ROA) | id_338_m_roa
资产周转率 | id_339_m_ta_to
净利润率 | id_340_m_np_s_r
毛利率(GM) | id_341_m_gp_m
有形资产回报率(ROTA) | id_342_m_rota
资本回报率(ROIC) | id_343_m_roic
资本收益率(ROC) | id_344_m_roc
四、 营运能力(周转率) | id_345
预付账款周转率 | id_346_m_ats_tor
合同资产周转率 | id_347_m_ca_tor
存货周转率 | id_348_m_i_tor
应收票据和应收账款周转率 | id_349_m_nraar_tor
应收票据周转率 | id_350_m_nr_tor
应收账款周转率 | id_351_m_ar_tor
应收款项融资周转率 | id_352_m_rf_tor
预收账款周转率 | id_353_m_afc_tor
合同负债周转率 | id_354_m_cl_tor
应付票据和应付账款周转率 | id_355_m_npaap_tor
应付票据周转率 | id_356_m_np_tor
应付账款周转率 | id_357_m_ap_tor
固定资产周转率 | id_358_m_fa_tor
五、 营运能力(周转天数) | id_359
预付账款周转天数 | id_360_m_ats_ds
合同资产周转天数 | id_361_m_ca_ds
存货周转天数 | id_362_m_i_ds
应收票据和应收账款周转天数 | id_363_m_nraar_ds
应收票据周转天数 | id_364_m_nr_ds
应收账款周转天数 | id_365_m_ar_ds
应收款项融资周转天数 | id_366_m_rf_ds
预收账款周转天数 | id_367_m_afc_ds
合同负债周转天数 | id_368_m_cl_ds
应付票据和应付账款周转天数 | id_369_m_npaap_ds
应付票据周转天数 | id_370_m_np_ds
应付账款周转天数 | id_371_m_ap_ds
营业周转天数 | id_372_m_b_ds
净现金周转天数(CCC) | id_373_m_m_ds
固定资产周转天数 | id_374_m_fa_ds
流动资产周转天数 | id_375_m_tca_ds
股东权益周转天数 | id_376_m_toe_ds
总资产周转天数 | id_377_m_ta_ds
六、 偿债及资本结构 | id_378
资产负债率 | id_379_m_tl_ta_r
有息负债率 | id_380_m_lwi_ta_r
货币资金占流动负债比率 | id_381_m_cabb_tcl_r
流动比率 | id_382_m_c_r
速动比率 | id_383_m_q_r
固定资产占总资产比率 | id_384_m_fa_ta_r
清算价值比率 | id_385_m_lv_r
七、 现金流量 | id_386
自由现金流量 | id_387_m_fcf
销售商品提供劳务收到的现金对营业收入的比率 | id_388_m_crfscapls_oi_r
经营活动产生的现金流量净额对营业利润的比率 | id_389_m_ncffoa_op_r
经营活动产生的现金流量净额对净利润的比率 | id_390_m_ncffoa_np_r
销售商品提供劳务收到的现金对总资产的比率 | id_391_m_crfscapls_ta_r
经营活动产生的现金流量净额对固定资产的比率 | id_392_m_ncffoa_fa_r
首次上传日期_mvs | first_update_mvs
最近上传日期_mvs | last_update_mvs
代码 | stockCode_mvs
日期 | date_mvs
PE-TTM | id_001_mvs_pe_ttm
PE-TTM分位点(3年) | id_002_mvs_pe_ttm_pos3
PE-TTM分位点(5年) | id_003_mvs_pe_ttm_pos5
PE-TTM分位点(10年) | id_004_mvs_pe_ttm_pos10
PE-TTM分位点(20年) | id_005_mvs_pe_ttm_pos20
PE-TTM分位点(全部) | id_006_mvs_pe_ttm_pos_all
PE-TTM(扣非) | id_007_mvs_d_pe_ttm
PE-TTM(扣非)分位点(3年) | id_008_mvs_d_pe_ttm_pos3
PE-TTM(扣非)分位点(5年) | id_009_mvs_d_pe_ttm_pos5
PE-TTM(扣非)分位点(10年) | id_010_mvs_d_pe_ttm_pos10
PE-TTM(扣非)分位点(20年) | id_011_mvs_d_pe_ttm_pos20
PE-TTM(扣非)分位点(全部) | id_012_mvs_d_pe_ttm_pos_all
PB | id_013_mvs_pb
PB分位点(3年) | id_014_mvs_pb_pos3
PB分位点(5年) | id_015_mvs_pb_pos5
PB分位点(10年) | id_016_mvs_pb_pos10
PB分位点(20年) | id_017_mvs_pb_pos20
PB分位点(全部) | id_018_mvs_pb_pos_all
PB(不含商誉) | id_019_mvs_pb_wo_gw
PB(不含商誉)分位点(3年) | id_020_mvs_pb_wo_gw_pos3
PB(不含商誉)分位点(5年) | id_021_mvs_pb_wo_gw_pos5
PB(不含商誉)分位点(10年) | id_022_mvs_pb_wo_gw_pos10
PB(不含商誉)分位点(20年) | id_023_mvs_pb_wo_gw_pos20
PB(不含商誉)分位点(全部) | id_024_mvs_pb_wo_gw_pos_all
PS-TTM | id_025_mvs_ps_ttm
PS-TTM分位点(3年) | id_026_mvs_ps_ttm_pos3
PS-TTM分位点(5年) | id_027_mvs_ps_ttm_pos5
PS-TTM分位点(10年) | id_028_mvs_ps_ttm_pos10
PS-TTM分位点(20年) | id_029_mvs_ps_ttm_pos20
PS-TTM分位点(全部) | id_030_mvs_ps_ttm_pos_all
PCF-TTM | id_031_mvs_pcf_ttm
EV/EBIT | id_032_mvs_ev_ebit_r
股票收益率 | id_033_mvs_ey
股息率 | id_034_mvs_dyr
股价 | id_035_mvs_sp
成交量 | id_036_mvs_tv
前复权 | id_037_mvs_fc_rights
后复权 | id_038_mvs_bc_rights
理杏仁前复权 | id_039_mvs_lxr_fc_rights
股东人数 | id_040_mvs_shn
市值 | id_041_mvs_mc
流通市值 | id_042_mvs_cmc
自由流通市值 | id_043_mvs_ecmc
人均自由流通市值 | id_044_mvs_ecmc_psh
融资余额 | id_045_mvs_fb
融券余额 | id_046_mvs_sb
陆股通持仓金额 | id_047_mvs_ha_shm
